     read       raw corrected
       id    length    length
--------- --------- ---------
      906      2055      2011
      907      1738      1716
      908      2392      2335
      909     13127     12766
      910       856       856
      911       819       814
      912      2675      2626
      913      2842      2835
      914      1918      1914
      915      3663      3488
      916      1355      1355
      917      1953      1908
      918       790       758
      919     16246     16215
      921      1724      1724
      922     12830     12510
      923      6288      6295
      924      1407      1407
      925     28609     28620
      926      2614      2536
      927       681       681
      928      3848      3698
      929      1090      1080
      930      1113      1113
      931      3120      3037
      932       842       838
      933       726       726
      935      2537      2518
      936     12244     12193
      937      1653      1645
      938      3884      3756
      939      1023       993
      941      2414      2297
      942     23496     22638
      943       734       715
      944      6863      6750
      945     26677     26052
      946      2248      2218
      947     26730     25771
      948      1024       992
      949      8523      8312
      950      2886      2867
      951      2622      2577
      952     20245     19969
      953       787       782
      954      8089      8047
      955       766       766
      956      1391      1382
      957      1128      1127
      958       899       898
      959      3311      3311
      960     13870     13383
      961      1017       952
      962      1262      1246
      963     14326     14007
      964      9555      9499
      965      6432      6432
      966      1851      1808
      967      9493      9257
      968      5246      5087
      969       603       590
      970      9466      9291
      971      4885      4881
      972       636       628
      973      1063      1058
      974      1875      1865
      975      5960      5675
      976      8696      8573
      977       745       728
      979      6281      6163
      980      3038      3025
      982      1313      1306
      983      6409      6406
      984      3120      3120
      985      6221      6210
      986      1545      1548
      987       948       917
      988      5527      5271
      989       995       974
      990      4139      4138
      991      4021      3980
      992      1169      1113
      993      6103      5963
      994     15747     15345
      995       781       781
      996      1142      1144
      997      6324      6205
      998      3278      3260
      999      1211      1189
     1001      1301      1261
     1005       624       607
     1006      9939      9859
     1007      2580      2585
     1009       966       954
     1010       413       413
     1011      4123      4014
     1012       684       673
     1013       230       229
     1014      3491      3491
     1015       838       838
     1017      6457      6345
     1018      5739      5712
     1019     30230     29726
     1020       741       735
     1021      2848      2764
     1022      6522      6503
     1023      4109      4109
     1024      6200      6136
     1026      8862      8722
     1028       469       469
     1029      6943      6832
     1030       346       336
     1031      3873      3759
     1033      3154      3117
     1034      1079      1068
     1035      4574      4411
     1036      2433      2433
     1037     12297     12068
     1039      7204      7186
     1040      2143      2148
     1041       532       529
     1042     14475     14307
     1043      2052      2050
     1044      5862      5784
     1045      1085      1085
     1046      2084      2022
     1047     20759     19986
     1048      1073      1075
     1049      4328      4233
     1050     20872     20314
     1051      1262      1263
     1052      3122      3041
     1054     11056     11010
     1055       797       769
     1056      2265      2211
     1057       969       960
     1058      1308      1281
     1059      2586      2585
     1060      1020      1020
     1061      6209      6202
     1062      1378      1368
     1064      1276      1271
     1066       770       764
     1067      1113      1072
     1068       591       542
     1069      2313      2301
     1070      2234      2195
     1072      1759      1743
     1073     12033     12033
     1075      2047      2064
     1076      2490      2492
     1077       735       712
     1078      4396      4337
     1079       770       770
     1080       903       892
     1081      5265      5239
     1083       747       742
     1084      1147      1144
     1085      6409      6300
     1087       722       722
     1088       660       644
     1089      2614      2562
     1090      6044      6033
     1091      1528      1521
     1092      9709      9410
     1094     12629     12474
     1095       918       908
     1096      3525      3508
     1097     15654     15391
     1098      1772      1767
     1099      2417      2412
     1100      1133      1091
     1102      3273      3239
     1103      1320      1307
     1104     10275     10054
     1105      1308      1308
     1107     14182     13685
     1108      2691      2691
     1109       375       374
     1111      2069      2019
     1113      1856      1824
     1114       864       862
     1115      1665      1660
     1116      1440      1440
     1117      3879      3666
     1118      1259      1242
     1119       357       357
     1120      9173      8918
     1121      2547      2493
     1122     20640     19873
     1123     20358     19759
     1124      2372      2330
     1125       614       604
     1126       725       706
     1127     11262     11158
     1128      1301      1293
     1130      1985      1985
     1131      1471      1471
     1132      3237      3237
     1133      1507      1458
     1134     11060     10608
     1135      1005      1010
     1136     11058     10734
     1137      7036      6978
     1138       806       805
     1139      3088      2985
     1141     14025     13761
     1142      2214      2204
     1143       617       621
     1144       695       691
     1145      2463      2457
     1146       264       270
     1147      2086      2003
     1148      1599      1582
     1149      1877      1863
     1150      6743      6728
     1151       866       866
     1152      3112      3056
     1153      5791      5782
     1154      3119      3060
     1155      1391      1391
     1156     10555     10493
     1157     16099     15900
     1158      1234      1224
     1159     15176     14867
     1160       828       830
     1161      1788      1766
     1163      3506      3413
     1164      1235      1273
     1165      6359      6132
     1166     11048     10955
     1168      1968      1926
     1169      1141      1100
     1170      1212      1210
     1172       399       395
     1173      3693      3608
     1174      2055      2016
     1175      1796      1766
     1176     10986     10771
     1177      3751      3747
     1178      6656      6656
     1179       906       892
     1182      2440      2412
     1184     15144     14891
     1185      2529      2447
     1186      4061      4061
     1187      7648      7609
     1188     15223     14933
     1189      4265      4262
     1190      7484      7454
     1191      3473      3473
     1192      1179      1178
     1194      2934      2879
     1195      1149      1144
     1196      7079      6919
     1197     27411     27411
     1198      1669      1669
     1199       792       783
     1200      6203      6197
     1201       754       754
     1203      2379      2329
     1204     19139     19139
     1205      1146      1142
     1206      2165      2131
     1208       986       984
     1209      1041      1036
     1210     20230     19843
     1212       997       985
     1213       844       844
     1214      5846      5798
     1215      3262      3262
     1217      1623      1619
     1218     12582     12622
     1219       376       367
     1220       482       486
     1221      5836      5753
     1222      1033      1029
     1223      3463      3321
     1224      3071      2975
     1225       906       885
     1226     10555     10543
     1227      3764      3642
     1228      1590      1491
     1229     13551     13433
     1230      2038      2014
     1231      2926      2884
     1232      1541      1542
     1233       413       410
     1234      2975      2906
     1236      2662      2662
     1237      2007      1998
     1238       815       809
     1239      1965      1965
     1240      6412      6285
     1241     14098     13730
     1243      1276      1251
     1244      2376      2331
     1245     11950     11919
     1246       555       559
     1247      9514      9514
     1248     30997     30739
     1249      1115      1113
     1250     18186     17280
     1253      3033      2982
     1254     11666     11488
     1255      5424      5236
     1256      3272      3086
     1257      3508      3504
     1259      3920      3917
     1260      1154      1122
     1261     25959     25596
     1262      1179      1178
     1263     18937     18283
     1265       517       508
     1266      1229      1219
     1267      4387      4387
     1270      8783      8567
     1271      7290      7138
     1272      1228      1202
     1274      9506      9475
     1276      1481      1492
     1277      2465      2465
     1278      8588      8557
     1279      6455      6448
     1280      1103      1103
     1281      5425      5414
     1282       458       458
     1283     50456     49954
     1284     23873     22910
     1285      2305      2255
     1286      2338      2246
     1287      4822      4780
     1288     21382     20853
     1289       604       599
     1290      4817      4783
     1291      9004      8908
     1292     30201     29923
     1295       559       540
     1296      1443      1442
     1297       684       687
     1298      6116      6075
     1299       977       941
     1300       909       850
     1301       836       836
     1302      1066      1062
     1303      5420      5383
     1304     27895     27304
     1305      4605      4605
     1306       645       644
     1307      1406      1406
     1308      1533      1517
     1309     10534     10434
     1310      1186      1187
     1311     16595     16009
     1313       726       715
     1314      1072      1067
     1316      2535      2534
     1318      1178      1155
     1319      1025       984
     1320      6349      6346
     1321      1847      1810
     1322      1971      1987
     1323      8242      8068
     1324      3338      3258
     1325      4754      4750
     1326      1343      1305
     1327      9561      9426
     1328       497       488
     1329      6766      6712
     1330       746       746
     1331      1724      1717
     1332       924       906
     1333     22245     21062
     1334       388       388
     1336      2727      2718
